"","id","condition","N","ncorrect","accuracy","median_rt"
"1","sub-007","accuracy",60,41,0.683333333333333,0.959879434507456
"2","sub-007","speed",60,40,0.666666666666667,0.73119600348582
"3","sub-010","accuracy",60,60,1,0.816200978999404
"4","sub-010","speed",60,60,1,0.612907124999766
"5","sub-011","accuracy",60,55,0.916666666666667,0.89413912549935
"6","sub-011","speed",60,54,0.9,0.472746812998594
"7","sub-012","accuracy",60,58,0.966666666666667,0.506426729494706
"8","sub-012","speed",60,59,0.983333333333333,0.531459208505112
"9","sub-015","accuracy",59,48,0.813559322033898,2.94065858799877
"10","sub-015","speed",60,47,0.783333333333333,1.38754965149929
"11","sub-019","accuracy",60,52,0.866666666666667,1.35465848799503
"12","sub-019","speed",60,46,0.766666666666667,0.802409124000405
"13","sub-022","accuracy",58,35,0.603448275862069,4.36668158398242
"14","sub-022","speed",58,32,0.551724137931034,4.21736745900125
"15","sub-025","accuracy",59,46,0.779661016949153,2.75773124399711
"16","sub-025","speed",60,52,0.866666666666667,0.861932834995969
"17","sub-040","accuracy",60,36,0.6,1.56945122849721
"18","sub-040","speed",60,32,0.533333333333333,1.23404045750067
"19","sub-041","accuracy",59,52,0.88135593220339,1.97763180000038
"20","sub-041","speed",60,56,0.933333333333333,1.65883320000012
"21","sub-042","accuracy",60,52,0.866666666666667,0.824018176000209
"22","sub-042","speed",60,39,0.65,1.04198636149977
"23","sub-044","accuracy",60,36,0.6,2.1026058750067
"24","sub-044","speed",60,31,0.516666666666667,1.23359258350684
"25","sub-046","accuracy",59,36,0.610169491525424,3.75821245799307
"26","sub-046","speed",60,39,0.65,2.12767979201453
"27","sub-047","accuracy",60,56,0.933333333333333,0.972897938481762
"28","sub-047","speed",60,53,0.883333333333333,0.870443533989601
"29","sub-052","accuracy",58,37,0.637931034482759,5.00138299999526
"30","sub-052","speed",60,29,0.483333333333333,3.8985260624977
"31","sub-058","accuracy",60,41,0.683333333333333,1.30215989599674
"32","sub-058","speed",60,35,0.583333333333333,1.04707883350056
"33","sub-062","accuracy",60,51,0.85,0.902579028499986
"34","sub-062","speed",60,47,0.783333333333333,0.702678539000317
"35","sub-071","accuracy",60,57,0.95,1.50755745000015
"36","sub-071","speed",59,49,0.830508474576271,1.46134540000003
"37","sub-074","accuracy",59,35,0.593220338983051,2.84605945801013
"38","sub-074","speed",60,39,0.65,1.97381395800767
"39","sub-075","accuracy",60,56,0.933333333333333,0.809048882500064
"40","sub-075","speed",60,41,0.683333333333333,1.1200696599999
"41","sub-078","accuracy",60,57,0.95,0.784115666499928
"42","sub-078","speed",60,53,0.883333333333333,0.708552766999674
"43","sub-079","accuracy",58,40,0.689655172413793,1.55062083850498
"44","sub-079","speed",60,38,0.633333333333333,0.942071980491164
"45","sub-080","accuracy",60,46,0.766666666666667,0.918094599997858
"46","sub-080","speed",60,52,0.866666666666667,0.89831514999969
"47","sub-084","accuracy",60,54,0.9,0.942301099999895
"48","sub-084","speed",59,53,0.898305084745763,0.980353699997068
"49","sub-088","accuracy",59,35,0.593220338983051,1.40749448598945
"50","sub-088","speed",60,33,0.55,0.730238256990561
"51","sub-089","accuracy",60,57,0.95,0.715529680001055
"52","sub-089","speed",60,57,0.95,0.61012393350029
"53","sub-090","accuracy",58,33,0.568965517241379,2.93415312499997
"54","sub-090","speed",60,38,0.633333333333333,0.87456652100002
"55","sub-091","accuracy",60,45,0.75,1.78946545000145
"56","sub-091","speed",60,53,0.883333333333333,0.987180699999953
"57","sub-092","accuracy",60,43,0.716666666666667,1.29687809149892
"58","sub-092","speed",60,49,0.816666666666667,0.962937948999751
"59","sub-093","accuracy",60,33,0.55,1.90501779200713
"60","sub-093","speed",59,35,0.593220338983051,0.982324625001638
"61","sub-095","accuracy",60,56,0.933333333333333,0.844001087999914
"62","sub-095","speed",59,56,0.949152542372881,0.845034381999994
"63","sub-098","accuracy",60,60,1,0.987604099999999
"64","sub-098","speed",60,55,0.916666666666667,0.688862900000003
"65","sub-103","accuracy",59,50,0.847457627118644,1.37892528402153
"66","sub-103","speed",60,52,0.866666666666667,1.07656259147916
"67","sub-106","accuracy",60,58,0.966666666666667,0.63945275000151
"68","sub-106","speed",60,58,0.966666666666667,0.575323729004594
"69","sub-108","accuracy",60,48,0.8,1.64566358049342
"70","sub-108","speed",60,54,0.9,1.0228870324936
"71","sub-109","accuracy",60,48,0.8,2.60187775001395
"72","sub-109","speed",60,38,0.633333333333333,1.05595099998754
"73","sub-110","accuracy",60,43,0.716666666666667,0.719663541472983
"74","sub-110","speed",60,47,0.783333333333333,0.952570479013957
"75","sub-111","accuracy",60,44,0.733333333333333,2.86776929994812
"76","sub-111","speed",60,48,0.8,1.07155154994689
"77","sub-113","accuracy",60,49,0.816666666666667,1.42364385002293
"78","sub-113","speed",60,49,0.816666666666667,1.26625579991378
"79","sub-114","accuracy",60,38,0.633333333333333,0.950789791415446
"80","sub-114","speed",60,30,0.5,0.635181895573623
"81","sub-116","accuracy",60,59,0.983333333333333,1.41309411700058
"82","sub-116","speed",60,49,0.816666666666667,0.668988766999973
"83","sub-119","accuracy",60,41,0.683333333333333,0.885740830999566
"84","sub-119","speed",60,31,0.516666666666667,0.398564537001221
"85","sub-123","accuracy",59,58,0.983050847457627,0.803780850008479
"86","sub-123","speed",60,59,0.983333333333333,0.520493874500971
"87","sub-124","accuracy",59,29,0.491525423728814,1.98650466700201
"88","sub-124","speed",60,40,0.666666666666667,2.58893970849932
"89","sub-130","accuracy",59,31,0.525423728813559,1.84167611900011
"90","sub-130","speed",60,39,0.65,1.24388171650025
"91","sub-131","accuracy",59,35,0.593220338983051,1.70736554102041
"92","sub-131","speed",60,37,0.616666666666667,1.664959520509
"93","sub-132","accuracy",60,40,0.666666666666667,1.66663282499985
"94","sub-132","speed",60,47,0.783333333333333,0.998532100499917
"95","sub-134","accuracy",59,43,0.728813559322034,3.40551618999962
"96","sub-134","speed",59,35,0.593220338983051,2.37541748500007
"97","sub-135","accuracy",59,36,0.610169491525424,0.690529300016351
"98","sub-135","speed",59,51,0.864406779661017,0.751118000014685
"99","sub-143","accuracy",56,29,0.517857142857143,3.43519708351232
"100","sub-143","speed",60,38,0.633333333333333,1.79243960400344
"101","sub-146","accuracy",57,44,0.771929824561403,1.56192110001575
"102","sub-146","speed",60,50,0.833333333333333,1.36986889998661
"103","sub-147","accuracy",59,50,0.847457627118644,1.46806271600008
