"id","trial","direction","condition","corrAns","resp","corr","rt"
"sub-10209782",1,"left","speed","left","right",0,5.87533789999725
"sub-10209782",2,"right","speed","right","right",1,0.822168799997598
"sub-10209782",3,"left","speed","left","left",1,0.935137000000395
"sub-10209782",4,"right","speed","right","right",1,0.745441600003687
"sub-10209782",5,"right","speed","right","right",1,1.50850550000177
"sub-10209782",6,"left","speed","left","left",1,0.939992200001143
"sub-10209782",7,"right","speed","right","right",1,1.64249610000115
"sub-10209782",8,"left","speed","left","left",1,2.17424119999487
"sub-10209782",9,"right","speed","right","right",1,1.37997140000516
"sub-10209782",10,"left","speed","left","left",1,1.54638939999859
"sub-10209782",11,"right","speed","right","right",1,0.716019200001028
"sub-10209782",12,"left","speed","left","right",0,2.32009429999744
"sub-10209782",13,"left","speed","left","left",1,2.49988250000024
"sub-10209782",14,"right","speed","right","right",1,0.749303800002963
"sub-10209782",15,"right","speed","right","right",1,2.86523760000273
"sub-10209782",16,"left","speed","left","left",1,3.79023979999329
"sub-10209782",17,"right","speed","right","right",1,0.764377400002559
"sub-10209782",18,"left","speed","left","left",1,0.899602099998447
"sub-10209782",19,"right","speed","right","right",1,0.843431200002669
"sub-10209782",20,"left","speed","left","left",1,0.891439099999843
"sub-10209782",21,"right","speed","right","right",1,0.657955700000457
"sub-10209782",22,"left","speed","left","left",1,0.744741099995736
"sub-10209782",23,"right","speed","right","right",1,0.749381399997219
"sub-10209782",24,"left","speed","left","left",1,0.714297099999385
"sub-10209782",25,"left","speed","left","right",0,0.83691589999944
"sub-10209782",26,"right","speed","right","left",0,0.851452499999141
"sub-10209782",27,"left","speed","left","left",1,2.44412719999673
"sub-10209782",28,"right","speed","right","right",1,0.646414299997559
"sub-10209782",29,"left","speed","left","right",0,5.7217610000007
"sub-10209782",30,"right","speed","right","right",1,0.716569399999571
"sub-10209782",31,"left","speed","left","left",1,1.58917810000275
"sub-10209782",32,"right","speed","right","right",1,0.863488199996937
"sub-10209782",33,"left","speed","left","left",1,1.42774530000315
"sub-10209782",34,"right","speed","right","right",1,0.61310639999283
"sub-10209782",35,"right","speed","right","right",1,0.877931200004241
"sub-10209782",36,"left","speed","left","left",1,0.905006600005436
"sub-10209782",37,"left","speed","left","right",0,2.42863590000343
"sub-10209782",38,"right","speed","right","right",1,1.23281639999914
"sub-10209782",39,"right","speed","right","right",1,1.34539879999647
"sub-10209782",40,"left","speed","left","left",1,0.97977610000089
"sub-10209782",41,"left","speed","left","left",1,2.17401059999975
"sub-10209782",42,"right","speed","right","right",1,0.659236599996802
"sub-10209782",43,"left","speed","left","left",1,1.31266119999782
"sub-10209782",44,"right","speed","right","right",1,0.662762100000691
"sub-10209782",45,"left","speed","left","left",1,1.12666819999868
"sub-10209782",46,"right","speed","right","right",1,0.63795289999689
"sub-10209782",47,"left","speed","left","right",0,0.8707424000022
"sub-10209782",48,"right","speed","right","right",1,1.52162520000275
"sub-10209782",49,"right","speed","right","right",1,0.897028200000932
"sub-10209782",50,"left","speed","left","left",1,0.777080799998657
"sub-10209782",51,"right","speed","right","right",1,0.524760299995251
"sub-10209782",52,"left","speed","left","left",1,1.03488890000153
"sub-10209782",53,"right","speed","right","right",1,0.569804499995371
"sub-10209782",54,"left","speed","left","right",0,0.49999150000076
"sub-10209782",55,"right","speed","right","right",1,0.960228099997039
"sub-10209782",56,"left","speed","left","left",1,1.31785200000013
"sub-10209782",57,"right","speed","right","right",1,0.720761499993387
"sub-10209782",58,"left","speed","left","left",1,0.721657599999162
"sub-10209782",59,"right","speed","right","right",1,0.596008799999254
"sub-10209782",60,"left","speed","left","left",1,0.928950900000928
"sub-10209782",1,"left","accuracy","left","left",1,0.792209899998852
"sub-10209782",2,"right","accuracy","right","right",1,0.558995499995945
"sub-10209782",3,"left","accuracy","left","left",1,1.15593660000013
"sub-10209782",4,"right","accuracy","right","right",1,1.13817969999945
"sub-10209782",5,"right","accuracy","right","right",1,1.0815866999983
"sub-10209782",6,"left","accuracy","left","left",1,1.9342897999959
"sub-10209782",7,"right","accuracy","right","right",1,0.587748300000385
"sub-10209782",8,"left","accuracy","left","right",0,2.02215319999959
