id,trial_all,block,trial_inblock,condition,cue,direction,choice,response,rt,correct
511,0,0,0,neutral,none,right,right,1,0.745553300017491,1
511,1,0,1,neutral,none,left,left,0,0.45515659998636693,1
511,2,0,2,invalid,right,left,left,0,0.6210894000250846,1
511,3,0,3,invalid,left,right,right,1,0.8298208999913186,1
511,4,0,4,valid,right,right,right,1,0.906076600018423,1
511,5,0,5,valid,right,right,left,0,0.7721493999706581,0
511,6,0,6,valid,right,right,left,0,0.6217207000008784,0
511,7,0,7,valid,right,right,right,1,0.7914183999528177,1
511,8,0,8,neutral,none,left,left,0,0.8102075000060722,1
511,9,0,9,neutral,none,left,right,1,1.0511011999915354,0
511,10,0,10,neutral,none,right,right,1,0.6261315000010654,1
511,11,0,11,invalid,left,right,right,1,0.8295924999983981,1
511,12,0,12,neutral,none,left,right,1,1.088250300032087,0
511,13,0,13,valid,right,right,right,1,0.8396725000347942,1
511,14,0,14,valid,left,left,right,1,0.7430042999912985,0
511,15,0,15,neutral,none,right,right,1,0.635109199967701,1
511,16,0,16,neutral,none,right,left,0,NA,0
511,17,0,17,valid,right,right,right,1,0.4362667000386864,1
511,18,0,18,invalid,right,left,left,0,0.5825278999982402,1
511,19,0,19,neutral,none,left,left,0,0.7165462999837473,1
511,20,0,20,valid,right,right,right,1,0.6912085000076331,1
511,21,0,21,neutral,none,right,right,1,0.6070992000168189,1
511,22,0,22,valid,right,right,right,1,0.5157070999848656,1
511,23,0,23,valid,left,left,left,0,0.38341239996952936,1
511,24,0,24,invalid,right,left,left,0,0.3888535000151023,1
511,25,0,25,neutral,none,right,right,1,0.5183024000143632,1
511,26,0,26,neutral,none,left,left,0,0.7061345999827608,1
511,27,0,27,valid,left,left,left,0,0.405241499945987,1
511,28,0,28,valid,right,right,right,1,0.36530750000383705,1
511,29,0,29,invalid,left,right,right,1,0.46610349998809403,1
511,30,0,30,invalid,left,right,right,1,0.550852499960456,1
511,31,0,31,neutral,none,right,left,0,0.4597780000185594,0
511,32,0,32,valid,right,right,right,1,0.6237425000290386,1
511,33,0,33,neutral,none,right,right,1,0.4903207999886945,1
511,34,0,34,neutral,none,left,left,0,0.4316828000009991,1
511,35,0,35,valid,left,left,left,0,0.3395122000365518,1
511,36,0,36,valid,left,left,left,0,0.3398903000052087,1
511,37,0,37,valid,right,right,right,1,0.4151410000049509,1
511,38,0,38,neutral,none,left,left,0,0.41471080004703254,1
511,39,0,39,neutral,none,right,right,1,0.4472014000057243,1
511,40,0,40,neutral,none,right,right,1,0.3927000999683514,1
511,41,0,41,neutral,none,right,left,0,0.35187489999225363,0
511,42,0,42,valid,left,left,left,0,0.5562047999701463,1
511,43,0,43,valid,left,left,left,0,0.3649431999656372,1
511,44,0,44,valid,right,right,right,1,0.32898930000374094,1
511,45,0,45,valid,left,left,left,0,0.3944940000073984,1
511,46,0,46,valid,right,right,right,1,0.3693185999873094,1
511,47,0,47,neutral,none,right,left,0,0.4604365000268445,0
511,48,0,48,neutral,none,right,right,1,0.6494496999657713,1
511,49,0,49,valid,right,right,left,0,0.33386529999552295,0
511,50,0,50,neutral,none,left,right,1,0.3847588000353426,0
511,51,0,51,neutral,none,left,left,0,0.4681424000300467,1
511,52,0,52,neutral,none,left,left,0,0.7395118999993429,1
511,53,0,53,valid,left,left,right,1,0.6449344999855384,0
511,54,0,54,valid,right,right,left,0,0.5346186000388116,0
511,55,0,55,neutral,none,right,right,1,0.35767309996299446,1
511,56,0,56,valid,left,left,left,0,0.4054275000235066,1
511,57,0,57,valid,left,left,left,0,0.42813730001216754,1
511,58,0,58,valid,left,left,left,0,0.3998918999568559,1
511,59,0,59,neutral,none,left,right,1,0.33276760001899675,0
511,60,0,60,neutral,none,left,right,1,0.3343497000169009,0
511,61,0,61,neutral,none,right,right,1,0.7227603999781422,1
511,62,0,62,invalid,right,left,right,1,0.3087816000333987,0
511,63,0,63,valid,left,left,left,0,0.2866317999432795,1
511,64,0,64,valid,left,left,left,0,0.3712047000299208,1
511,65,0,65,neutral,none,left,left,0,0.3561094999895431,1
511,66,0,66,neutral,none,right,right,1,0.30925230000866577,1
511,67,0,67,neutral,none,right,left,0,0.3558411000412889,0
511,68,0,68,valid,right,right,right,1,0.253524900006596,1
511,69,0,69,valid,left,left,left,0,0.29633639997337013,1
511,70,0,70,valid,left,left,left,0,0.2997921000351198,1
511,71,0,71,neutral,none,left,right,1,0.339375099982135,0
511,72,0,72,neutral,none,right,right,1,0.5082648000097834,1
511,73,0,73,neutral,none,right,left,0,0.4049212000099942,0
511,74,0,74,neutral,none,left,right,1,0.3924587999936193,0
