"","id","condition","N","ncorrect","accuracy","median_rt"
"1","sub-007","accuracy",60,41,0.683333333333333,0.959879434507456
"2","sub-007","speed",60,40,0.666666666666667,0.73119600348582
"3","sub-010","accuracy",60,60,1,0.816200978999404
"4","sub-010","speed",60,60,1,0.612907124999766
"5","sub-011","accuracy",60,55,0.916666666666667,0.89413912549935
"6","sub-011","speed",60,54,0.9,0.472746812998594
"7","sub-012","accuracy",60,58,0.966666666666667,0.506426729494706
"8","sub-012","speed",60,59,0.983333333333333,0.531459208505112
"9","sub-015","accuracy",60,49,0.816666666666667,2.94341849649937
"10","sub-015","speed",60,47,0.783333333333333,1.38754965149929
"11","sub-019","accuracy",60,52,0.866666666666667,1.35465848799503
"12","sub-019","speed",60,46,0.766666666666667,0.802409124000405
"13","sub-021","accuracy",60,30,0.5,3.69923220851343
"14","sub-021","speed",60,36,0.6,3.05550681249588
"15","sub-022","accuracy",60,36,0.6,4.39317972998833
"16","sub-022","speed",60,34,0.566666666666667,4.2653780214896
"17","sub-025","accuracy",60,46,0.766666666666667,2.78760369500014
"18","sub-025","speed",60,52,0.866666666666667,0.861932834995969
"19","sub-040","accuracy",60,36,0.6,1.56945122849721
"20","sub-040","speed",60,32,0.533333333333333,1.23404045750067
"21","sub-041","accuracy",60,52,0.866666666666667,1.99198595000053
"22","sub-041","speed",60,56,0.933333333333333,1.65883320000012
"23","sub-042","accuracy",60,52,0.866666666666667,0.824018176000209
"24","sub-042","speed",60,39,0.65,1.04198636149977
"25","sub-044","accuracy",60,36,0.6,2.1026058750067
"26","sub-044","speed",60,31,0.516666666666667,1.23359258350684
"27","sub-046","accuracy",60,37,0.616666666666667,3.77624108349846
"28","sub-046","speed",60,39,0.65,2.12767979201453
"29","sub-047","accuracy",60,56,0.933333333333333,0.972897938481762
"30","sub-047","speed",60,53,0.883333333333333,0.870443533989601
"31","sub-052","accuracy",60,38,0.633333333333333,5.02931460449326
"32","sub-052","speed",60,29,0.483333333333333,3.8985260624977
"33","sub-058","accuracy",60,41,0.683333333333333,1.30215989599674
"34","sub-058","speed",60,35,0.583333333333333,1.04707883350056
"35","sub-062","accuracy",60,51,0.85,0.902579028499986
"36","sub-062","speed",60,47,0.783333333333333,0.702678539000317
"37","sub-071","accuracy",60,57,0.95,1.50755745000015
"38","sub-071","speed",60,49,0.816666666666667,1.52235984999993
"39","sub-074","accuracy",60,36,0.6,2.87895531250251
"40","sub-074","speed",60,39,0.65,1.97381395800767
"41","sub-075","accuracy",60,56,0.933333333333333,0.809048882500064
"42","sub-075","speed",60,41,0.683333333333333,1.1200696599999
"43","sub-078","accuracy",60,57,0.95,0.784115666499928
"44","sub-078","speed",60,53,0.883333333333333,0.708552766999674
"45","sub-079","accuracy",59,41,0.694915254237288,1.5652436040109
"46","sub-079","speed",60,38,0.633333333333333,0.942071980491164
"47","sub-080","accuracy",60,46,0.766666666666667,0.918094599997858
"48","sub-080","speed",60,52,0.866666666666667,0.89831514999969
"49","sub-084","accuracy",60,54,0.9,0.942301099999895
"50","sub-084","speed",60,53,0.883333333333333,0.985190199997306
"51","sub-088","accuracy",60,36,0.6,1.43143533499096
"52","sub-088","speed",60,33,0.55,0.730238256990561
"53","sub-089","accuracy",60,57,0.95,0.715529680001055
"54","sub-089","speed",60,57,0.95,0.61012393350029
"55","sub-090","accuracy",60,35,0.583333333333333,3.00069539650003
"56","sub-090","speed",60,38,0.633333333333333,0.87456652100002
"57","sub-091","accuracy",60,45,0.75,1.78946545000145
"58","sub-091","speed",60,53,0.883333333333333,0.987180699999953
"59","sub-092","accuracy",60,43,0.716666666666667,1.29687809149892
"60","sub-092","speed",60,49,0.816666666666667,0.962937948999751
"61","sub-093","accuracy",60,33,0.55,1.90501779200713
"62","sub-093","speed",60,36,0.6,0.989776229005656
"63","sub-095","accuracy",60,56,0.933333333333333,0.844001087999914
"64","sub-095","speed",60,56,0.933333333333333,0.854746324000075
"65","sub-098","accuracy",60,60,1,0.987604099999999
"66","sub-098","speed",60,55,0.916666666666667,0.688862900000003
"67","sub-103","accuracy",60,50,0.833333333333333,1.42736854898976
"68","sub-103","speed",60,52,0.866666666666667,1.07656259147916
"69","sub-106","accuracy",60,58,0.966666666666667,0.63945275000151
"70","sub-106","speed",60,58,0.966666666666667,0.575323729004594
"71","sub-108","accuracy",60,48,0.8,1.64566358049342
"72","sub-108","speed",60,54,0.9,1.0228870324936
"73","sub-109","accuracy",60,48,0.8,2.60187775001395
"74","sub-109","speed",60,38,0.633333333333333,1.05595099998754
"75","sub-110","accuracy",60,43,0.716666666666667,0.719663541472983
"76","sub-110","speed",60,47,0.783333333333333,0.952570479013957
"77","sub-111","accuracy",60,44,0.733333333333333,2.86776929994812
"78","sub-111","speed",60,48,0.8,1.07155154994689
"79","sub-113","accuracy",60,49,0.816666666666667,1.42364385002293
"80","sub-113","speed",60,49,0.816666666666667,1.26625579991378
"81","sub-114","accuracy",60,38,0.633333333333333,0.950789791415446
"82","sub-114","speed",60,30,0.5,0.635181895573623
"83","sub-116","accuracy",60,59,0.983333333333333,1.41309411700058
"84","sub-116","speed",60,49,0.816666666666667,0.668988766999973
"85","sub-119","accuracy",60,41,0.683333333333333,0.885740830999566
"86","sub-119","speed",60,31,0.516666666666667,0.398564537001221
"87","sub-123","accuracy",60,58,0.966666666666667,0.819772903501871
"88","sub-123","speed",60,59,0.983333333333333,0.520493874500971
"89","sub-124","accuracy",60,29,0.483333333333333,2.04745131250092
"90","sub-124","speed",60,40,0.666666666666667,2.58893970849932
"91","sub-130","accuracy",60,31,0.516666666666667,1.92862032750054
"92","sub-130","speed",60,39,0.65,1.24388171650025
"93","sub-131","accuracy",60,35,0.583333333333333,1.70840943750227
"94","sub-131","speed",60,37,0.616666666666667,1.664959520509
"95","sub-132","accuracy",60,40,0.666666666666667,1.66663282499985
"96","sub-132","speed",60,47,0.783333333333333,0.998532100499917
"97","sub-134","accuracy",60,44,0.733333333333333,3.43935609849996
"98","sub-134","speed",60,36,0.6,2.414683427
"99","sub-135","accuracy",59,36,0.610169491525424,0.690529300016351
"100","sub-135","speed",60,52,0.866666666666667,0.752306750044226
"101","sub-143","accuracy",59,30,0.508474576271186,3.57671779202064
"102","sub-143","speed",60,38,0.633333333333333,1.79243960400344
"103","sub-146","accuracy",59,45,0.76271186440678,1.57103170000482
"104","sub-146","speed",60,50,0.833333333333333,1.36986889998661
