wordCTK,colorCTK,corrAnsCTK,congruentCTK,wordPractice,colorPractice,corrAnsPractice,congruentPractice,word,color,corrAns,congruent,trials_CTK.thisRepN,trials_CTK.thisTrialN,trials_CTK.thisN,trials_CTK.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,thisRow.t,notes,instruction.started,instr_text.started,instr_image.started,instr_resp.started,instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,instr_color_to_key.started,instr_ctk.started,resp_ctk.started,instr_color_to_key.stopped,resp_ctk.keys,resp_ctk.rt,resp_ctk.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,color_to_key_run.started,stimulus_CTK.started,keyResp_CTK.started,color_to_key_run.stopped,keyResp_CTK.keys,keyResp_CTK.corr,keyResp_CTK.rt,keyResp_CTK.duration,instr_practice.started,instr_practice_text.started,instr_practice_resp.started,instr_practice.stopped,instr_practice_resp.keys,instr_practice_resp.rt,instr_practice_resp.duration,practice_run.started,stimulus_practice.started,respPractice.started,practice_run.stopped,respPractice.keys,respPractice.corr,respPractice.rt,respPractice.duration,feedback.started,textFeedback.started,feedback.stopped,instr_test.started,instr_test_text.started,instr_test_resp.started,instr_test.stopped,instr_test_resp.keys,instr_test_resp.rt,instr_test_resp.duration,test_run.started,stimulus_test_run.started,keyResp_test_run.started,test_run.stopped,keyResp_test_run.keys,keyResp_test_run.corr,keyResp_test_run.rt,keyResp_test_run.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.05172869999660179,0.108850499993423,0.108850499993423,0.108850499993423,97.52308070000436,space,97.40236140000343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.52314049999404,97.54151779999665,97.54151779999665,103.60387690000061,space,6.05660729999363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,yellow,g,1,,,,,,,,,0,0,0,1,,,,,,,,,103.63964900000428,,,,,,,,,,,,,,,,,103.6236218999984,103.71032209999976,104.53583320000325,104.5008811000007,104.50091619999148,104.53583320000325,104.53583320000325,106.70450150000397,g,1,2.165334899997106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,red,r,1,,,,,,,,,0,1,1,0,,,,,,,,,106.72507980000228,,,,,,,,,,,,,,,,,106.70635089999996,106.81368120000116,107.62877429999935,107.61149929999374,107.61153480000212,107.62877429999935,107.62877429999935,108.56533800000034,r,1,0.930068100002245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,blue,b,1,,,,,,,,,0,2,2,2,,,,,,,,,108.58416579999903,,,,,,,,,,,,,,,,,108.5667306999967,108.6730644999916,109.48588720000407,109.46745729999384,109.46748900000239,109.48588720000407,109.48588720000407,110.09392200000002,b,1,0.586531399996602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,red,r,1,,,,,,,,,1,0,3,0,,,,,,,,,110.11012810000102,,,,,,,,,,,,,,,,,110.0952796999918,110.90853790000256,111.7136840000021,111.69558929999766,111.69562319999386,111.7136840000021,111.7136840000021,112.4331375000038,r,1,0.7075942999945255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,yellow,g,1,,,,,,,,,1,1,4,1,,,,,,,,,112.45096580000245,,,,,,,,,,,,,,,,,112.43445869999414,112.5395131999976,113.34779450000497,113.32833979999123,113.328394199998,113.34779450000497,113.34779450000497,114.11407169999438,g,1,0.7625622000050498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,blue,b,1,,,,,,,,,1,2,5,2,,,,,,,,,114.13074520000373,,,,,,,,,,,,,,,,,114.11561710000387,114.47546050000528,115.28190560000075,115.26221960000112,115.26225269999122,115.28190560000075,115.28190560000075,116.10908219999692,b,1,0.8186859000124969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,blue,b,1,,,,,,,,,2,0,6,2,,,,,,,,,116.1262621999922,,,,,,,,,,,,,,,,,116.1107628000027,116.92468430000008,117.735385699998,117.71679799999401,117.716829099998,117.735385699998,117.735385699998,118.59736600000178,b,1,0.8579384000040591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
test,yellow,g,1,,,,,,,,,2,1,7,1,,,,,,,,,118.61432490000152,,,,,,,,,,,,,,,,,118.59910520000267,119.40766219999932,120.20947119999619,120.19199649999791,120.19202619999123,120.20947119999619,120.20947119999619,120.73605389999284,g,1,0.5241259000031278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-481121,001,2024-03-12_13h40.03.342,stroop_test,2023.2.3,None,2024-03-12 13h40.28.162819 +0100,
