"id","trial","direction","condition","corrAns","resp","corr","rt"
"sub-007",1,"right","speed","right","right",1,0.653702184004942
"sub-007",2,"left","speed","left","right",0,0.582185796985868
"sub-007",3,"left","speed","left","left",1,1.38683706297888
"sub-007",4,"right","speed","right","right",1,0.955037053994602
"sub-007",5,"left","speed","left","right",0,0.499012704996858
"sub-007",6,"right","speed","right","left",0,0.692695937003009
"sub-007",7,"left","speed","left","left",1,1.49113630902139
"sub-007",8,"right","speed","right","right",1,1.04961009102408
"sub-007",9,"left","speed","left","right",0,0.690777653013356
"sub-007",10,"right","speed","right","left",0,0.793062126002042
"sub-007",11,"right","speed","right","left",0,0.826860981993377
"sub-007",12,"left","speed","left","left",1,0.645988468982978
"sub-007",13,"right","speed","right","right",1,0.633164692000719
"sub-007",14,"left","speed","left","left",1,2.01240973698441
"sub-007",15,"right","speed","right","right",1,1.5446416180057
"sub-007",16,"left","speed","left","left",1,0.66791764300433
"sub-007",17,"left","speed","left","right",0,0.49759398799506
"sub-007",18,"right","speed","right","left",0,0.651215924997814
"sub-007",19,"left","speed","left","left",1,0.54309178199037
"sub-007",20,"right","speed","right","right",1,0.556620155985001
"sub-007",21,"left","speed","left","left",1,0.482719046995044
"sub-007",22,"right","speed","right","left",0,0.866801256983308
"sub-007",23,"right","speed","right","right",1,0.734800724982051
"sub-007",24,"left","speed","left","left",1,0.981428858009167
"sub-007",25,"right","speed","right","left",0,3.01500572101213
"sub-007",26,"left","speed","left","right",0,0.5192105419992
"sub-007",27,"left","speed","left","left",1,0.684477825998329
"sub-007",28,"right","speed","right","right",1,0.592772817995865
"sub-007",29,"left","speed","left","left",1,0.540998706012033
"sub-007",30,"right","speed","right","right",1,1.14444608500344
"sub-007",31,"left","speed","left","right",0,1.1182322090026
"sub-007",32,"right","speed","right","right",1,1.25441913600662
"sub-007",33,"right","speed","right","right",1,1.00140825900598
"sub-007",34,"left","speed","left","left",1,0.597766877006507
"sub-007",35,"right","speed","right","right",1,2.47431287300424
"sub-007",36,"left","speed","left","left",1,0.642220592009835
"sub-007",37,"left","speed","left","left",1,0.921200895012589
"sub-007",38,"right","speed","right","right",1,0.727403121010866
"sub-007",39,"left","speed","left","left",1,0.811052367003867
"sub-007",40,"right","speed","right","right",1,1.22109574198839
"sub-007",41,"right","speed","right","left",0,2.2658919460082
"sub-007",42,"left","speed","left","right",0,0.868154410010902
"sub-007",43,"left","speed","left","right",0,0.808670188009273
"sub-007",44,"right","speed","right","right",1,1.11031086900039
"sub-007",45,"left","speed","left","left",1,0.531891815015115
"sub-007",46,"right","speed","right","left",0,0.699613907985622
"sub-007",47,"left","speed","left","right",0,0.614715497998986
"sub-007",48,"right","speed","right","right",1,0.805975010007387
"sub-007",49,"right","speed","right","left",0,0.533303417993011
"sub-007",50,"left","speed","left","left",1,0.713745629996993
"sub-007",51,"left","speed","left","left",1,1.37226241998724
"sub-007",52,"right","speed","right","left",0,1.08692457800498
"sub-007",53,"left","speed","left","right",0,0.723483267996926
"sub-007",54,"right","speed","right","right",1,1.45105308300117
"sub-007",55,"left","speed","left","left",1,0.678455851011677
"sub-007",56,"right","speed","right","right",1,0.847352090000641
"sub-007",57,"left","speed","left","left",1,0.727591281989589
"sub-007",58,"right","speed","right","right",1,0.669435082003474
"sub-007",59,"left","speed","left","left",1,0.700507939007366
"sub-007",60,"right","speed","right","right",1,1.62527110398514
"sub-007",1,"left","accuracy","left","left",1,3.20253832699382
